filename, language, CSS, JavaScript, XML, comment, blank, total
App.css, CSS, 51, 0, 0, 0, 14, 65
App.js, JavaScript, 0, 11, 0, 0, 3, 14
App.test.js, JavaScript, 0, 8, 0, 0, 2, 10
actions/index.js, JavaScript, 0, 123, 0, 0, 19, 142
components/CreateTodo.js, JavaScript, 0, 53, 0, 0, 6, 59
components/Discard.js, JavaScript, 0, 31, 0, 0, 7, 38
components/EditError.js, JavaScript, 0, 8, 0, 0, 3, 11
components/EditForm.js, JavaScript, 0, 95, 0, 0, 10, 105
components/EditTodo.js, JavaScript, 0, 17, 0, 0, 4, 21
components/InputError.js, JavaScript, 0, 5, 0, 0, 3, 8
components/Main.js, JavaScript, 0, 94, 0, 0, 9, 103
components/NotFound.js, JavaScript, 0, 3, 0, 0, 3, 6
components/Todo.js, JavaScript, 0, 27, 0, 0, 3, 30
index.css, CSS, 12, 0, 0, 0, 2, 14
index.js, JavaScript, 0, 14, 0, 0, 3, 17
logo.svg, XML, 0, 0, 7, 0, 1, 8
reducers/errors.js, JavaScript, 0, 20, 0, 0, 4, 24
reducers/filters.js, JavaScript, 0, 25, 0, 0, 2, 27
reducers/helpers.js, JavaScript, 0, 21, 0, 0, 5, 26
reducers/index.js, JavaScript, 0, 11, 0, 0, 2, 13
reducers/todos.js, JavaScript, 0, 42, 0, 0, 8, 50
router/AppRouter.js, JavaScript, 0, 18, 0, 0, 4, 22
router/history.js, JavaScript, 0, 2, 0, 0, 0, 2
serviceWorker.js, JavaScript, 0, 92, 0, 31, 13, 136
store/index.js, JavaScript, 0, 9, 0, 0, 4, 13
Total, -, 63, 729, 7, 31, 134, 964
